metro,price,minutes,way,provider,fee_percent,rooms,total_area,sector
Medvedkovo,35000,0,1,1,100,2,45,Severnoe Medvedkovo
Ulitca Akademika Iangelia,50000,0,1,1,100,3,66,Certanovo Uznoe
Kommunarka,38000,0,1,1,70,2,55,Sosenskoe
Pervomaiskaia,40000,0,1,1,100,2,52,Izmailovo
Tushinskaia,60000,0,1,1,80,1,47,Pokrovskoe-Streshnevo
Nekrasovka,60000,0,1,1,100,3,62,Nekrasovka
Shosse Entuziastov,38000,0,1,1,100,1,36,Perovo
Novokuznetckaia,270000,0,1,1,0,2,51,Zamoskvoreche
Liublino,120000,0,1,1,60,3,82,Lublino
Novokuznetckaia,190000,0,1,1,50,2,52,Zamoskvoreche
Vodnyi stadion,95000,0,1,1,20,2,70,Golovinski
Tcaritcyno,37000,0,1,1,100,1,5,Tcaritcyno
Bratislavskaia,38000,0,1,1,100,1,25,Maruino
Preobrazhenskaia ploshchad,50000,0,1,1,100,2,38,Preobrazhenskoe
Zhulebino,40000,0,1,1,100,1,39,Vihino-Julebino
Lukhmanovskaia,48000,0,1,1,0,1,48,Kosino-Uhtomski
Seligerskaia,43000,0,1,1,100,2,42,Beskudnikovski
Sviblovo,35000,0,1,1,100,1,34,Sviblovo
Nakhimovskii prospekt,65000,0,1,1,35,2,80,Zuzino
Okhotnyi riad,140000,0,1,1,60,2,58,Tverskoi
VDNKh,65000,0,1,1,100,1,35,Ostankinski
Vykhino,35000,0,1,1,100,3,68,Vihino-Julebino
Kuntcevskaia,32000,0,1,1,100,1,35,Kuncevo
Bratislavskaia,40000,0,1,1,100,2,70,Maruino
Iasenevo,34000,0,1,1,100,1,33,Yasenevo
Shelepikha,80000,0,1,1,50,2,80,Presnenski
Filatov Lug,15000,0,1,1,100,1,45,Sosenskoe
Sukharevskaia,70000,0,1,1,100,3,70,Krasnoselski
Nekrasovka,45000,0,1,1,100,2,55,Nekrasovka
Studencheskaia,62000,0,1,1,60,2,50,Dorogomilovo
Marino,80000,0,1,1,60,3,82,Maruino
Prospekt Mira,55000,0,1,1,100,2,60,Meshanski
Fonvizinskaia,45000,0,1,1,100,1,34,Butirski
Novokosino,38000,0,1,1,100,2,35,Novokosino
Vystavochnaia,48000,0,1,1,100,1,40,Presnenski
Delovoi tcentr,48000,0,1,1,100,1,33,Presnenski
Dubrovka,40000,0,1,1,100,1,38,Uznoportovi
Lefortovo,50000,0,1,1,100,2,74,Lefortovo
Begovaia,75000,0,1,1,80,1,51,Presnenski
Skhodnenskaia,40000,0,1,1,50,2,48,Uznoe Tushino
Piatnitckoe shosse,40000,40,0,1,60,1,41,Mitino
Babushkinskaia,50000,0,0,1,100,2,45,Babuskinski
Alma-Atinskaia,33000,0,0,1,100,1,40,Brateevo
Baumanskaia,140000,0,0,1,20,3,95,Basmanski
Pervomaiskaia,30000,0,0,1,100,1,36,Izmailovo
Savelovskaia,80000,1,1,0,0,3,82,Savelovski
Altufevo,50000,3,1,1,0,1,28,Bibirevo
Piatnitckoe shosse,14000,23,0,1,50,1,39,Mitino
Buninskaia Alleia,14000,7,0,1,50,1,36,Uznoe Butovo
Buninskaia Alleia,14000,8,0,1,50,1,39,Uznoe Butovo
Piatnitckoe shosse,14000,23,0,1,50,1,39,Mitino
Marino,20000,6,1,1,50,1,39,Maruino
Ulitca Akademika Iangelia,20000,6,1,1,50,1,39,Certanovo Uznoe
Teplyi Stan,20000,6,1,1,50,1,39,Yasenevo
Ulitca Skobelevskaia,22000,5,1,1,50,1,39,Uznoe Butovo
Borovskoe shosse,22000,19,1,1,50,1,39,Novo-Peredelkino
Iuzhnaia,24000,5,1,1,50,1,39,Certanovo Centralnoe
Govorovo,20000,4,1,1,50,1,39,Solncevo
Teplyi Stan,16000,6,0,1,50,1,39,Yasenevo
Oktiabrskoe pole,24000,5,1,1,50,1,39,Shukino
Kuntcevskaia,20000,4,1,1,50,1,39,Kuncevo
Shchelkovskaia,20000,5,1,1,50,1,39,Golyanovo
Salarevo,14000,6,0,1,50,1,41,Solncevo
Bulvar Rokossovskogo,20000,6,1,1,50,1,39,Bogorodskoe
Kommunarka,14000,17,1,1,50,1,39,Sosenskoe
Novoperedelkino,12000,20,0,1,50,1,39,Novo-Peredelkino
Perovo,22000,5,1,1,50,1,39,Novogireevo
Vykhino,20000,7,1,1,50,1,40,Vihino-Julebino
Novoperedelkino,12000,19,0,1,50,1,39,Novo-Peredelkino
Riazanskii prospekt,20000,5,1,1,50,1,39,Ryazanski
Liublino,20000,5,1,1,50,1,39,Lublino
Altufevo,20000,5,1,0,0,1,43,Bibirevo
Medvedkovo,21000,5,1,0,0,1,42,Severnoe Medvedkovo
Dubrovka,22000,11,1,0,0,1,43,Uznoportovi
Nagornaia,22000,6,1,0,0,1,41,Nagorni
Solntcevo,21000,32,0,0,0,1,42,Solncevo
Ulitca Dmitrievskogo,21000,6,1,0,0,1,45,Kosino-Uhtomski
Novokosino,22000,6,1,0,0,1,45,Novokosino
Bulvar Rokossovskogo,22000,6,1,0,0,1,43,Bogorodskoe
Turgenevskaia,100000,19,1,0,0,1,67,Krasnoselski
Vykhino,35000,0,1,1,0,1,36,Vihino-Julebino
Tekstilshchiki,40000,0,1,1,0,1,37,Tekstilshchiki
Kuzminki,50000,0,1,1,0,2,32,Kuzminki
Volzhskaia,44000,0,1,1,0,1,38,Kuzminki
Strogino,60000,0,1,0,0,1,40,Strogino
Iugo-Zapadnaia,90000,0,1,0,0,3,107,Troparevo-Nikulino
Liublino,65000,0,1,1,0,2,65,Lublino
Domodedovskaia,65000,0,1,1,0,2,47,Orehovo-Borisovo Uzhnoe
Shipilovskaia,50000,0,1,1,0,2,47,Zyablikovo
Domodedovskaia,32000,0,1,1,0,1,33,Orehovo-Borisovo Uzhnoe
Kuzminki,40000,0,1,1,0,1,42,Kuzminki
Voikovskaia,40000,0,1,1,0,2,44,Voikovski
Riazanskii prospekt,38000,0,1,1,0,1,46,Ryazanski
Marino,62000,0,1,0,0,2,54,Maruino
Kantemirovskaia,45000,0,1,1,0,2,46,Tcaritcyno
Kuzminki,50000,0,1,1,0,2,37,Kuzminki
Shchukinskaia,55000,12,1,1,0,2,54,Shukino
VDNKh,45000,0,1,0,0,1,41,Ostankinski
Volzhskaia,40000,0,1,1,0,1,38,Kuzminki
Novye Cheremushki,42500,0,1,1,0,1,37,Cheremyshki
Pechatniki,75000,0,1,1,0,2,40,Pechatniki
Novogireevo,45000,0,1,1,0,2,60,Novogireevo
Profsoiuznaia,50000,0,1,1,0,1,38,Academicheskiy
Liublino,80000,0,1,1,0,3,67,Lublino
Elektrozavodskaia,75000,0,1,1,0,3,67,Sokolinaya Gora
Marino,95000,14,1,1,0,4,112,Maruino
Profsoiuznaia,40000,0,1,0,0,2,45,Academicheskiy
Kievskaia,130000,0,1,1,0,1,44,Dorogomilovo
Molodezhnaia,60000,0,1,1,0,2,54,Kuncevo
Ulitca Skobelevskaia,60000,0,1,1,0,3,78,Uznoe Butovo
Bratislavskaia,28000,20,1,1,0,2,46,Maruino
Kakhovskaia,60000,0,1,1,0,2,44,Zuzino
Alma-Atinskaia,50000,5,0,1,0,3,69,Brateevo
Minskaia,90000,0,0,1,0,3,67,Dorogomilovo
Marina Roshcha,80000,13,1,1,0,2,52,Maruina Rocha
Pechatniki,59000,5,1,0,0,2,56,Pechatniki
Kaluzhskaia,50000,15,1,1,0,1,67,Obruchevski
Iugo-Zapadnaia,55000,15,1,1,0,2,54,Troparevo-Nikulino
Lermontovskii prospekt,20000,4,1,1,50,1,67,Vihino-Julebino
Lermontovskii prospekt,22000,6,1,1,50,1,67,Vihino-Julebino
Zhulebino,20000,10,1,1,50,1,67,Vihino-Julebino
Lermontovskii prospekt,24000,7,1,1,50,1,67,Vihino-Julebino
Novogireevo,20000,7,1,1,50,1,5,Novogireevo
Leninskii prospekt,80000,10,0,0,0,3,96,Donskoi
Fonvizinskaia,65000,3,0,0,0,3,65,Butirski
Savelovskaia,60000,10,1,0,0,1,67,Savelovski
Nagornaia,86000,18,1,1,0,3,67,Nagorni
Lomonosovskii prospekt,24000,6,1,1,50,1,40,Ramenki
Kotelniki,24000,10,1,1,50,1,42,Vihino-Julebino
Solntcevo,24000,5,1,1,50,1,42,Solncevo
Liublino,28000,11,1,1,50,2,52,Lublino
VDNKh,28000,12,1,1,50,2,53,Ostankinski
Dmitrovskaia,70000,1,1,1,60,1,67,Butirski
Khovrino,23500,3,1,1,51,1,42,Hovrino
Akademicheskaia,25000,8,1,1,48,1,39,Academicheskiy
VDNKh,24500,10,1,1,49,1,42,Ostankinski
Teplyi Stan,22500,6,0,1,53,1,40,Yasenevo
Teplyi Stan,29000,7,0,1,52,2,58,Yasenevo
Novoperedelkino,12000,21,0,1,50,1,41,Novo-Peredelkino
Piatnitckoe shosse,15000,23,0,1,50,1,41,Mitino
Buninskaia Alleia,14000,7,0,1,50,1,42,Uznoe Butovo
Salarevo,14000,5,0,1,50,1,41,Solncevo
Frunzenskaia,80000,7,1,1,0,2,67,Hamovniki
Ulitca Akademika Iangelia,38000,16,1,1,50,2,46,Certanovo Uznoe
Voikovskaia,35000,20,1,1,100,1,67,Voikovski
Novye Cheremushki,35000,17,1,1,50,1,30,Cheremyshki
Borisovo,35000,5,1,1,50,1,39,Zyablikovo
Kurskaia,75000,14,1,1,50,1,45,Basmanski
Ulitca Akademika Iangelia,45000,15,1,1,50,3,60,Certanovo Uznoe
Petrovskii park,52000,10,1,1,50,2,54,Aeroport
Begovaia,45000,8,1,1,100,1,67,Presnenski
Oktiabrskaia,55000,6,1,1,50,1,33,Yakimanka
Bratislavskaia,50000,8,1,1,50,2,58,Maruino
Bratislavskaia,38000,4,1,1,50,1,38,Maruino
Pechatniki,40000,17,1,1,50,2,67,Pechatniki
Smolenskaia,100000,8,1,1,0,2,46,Arbat
Prospekt Mira,80000,1,1,1,30,2,7,Meshanski
Bulvar Rokossovskogo,33000,15,1,1,50,1,32,Bogorodskoe
Kantemirovskaia,55000,3,1,1,40,1,67,Tcaritcyno
Belorusskaia,50000,7,1,1,50,2,48,Tverskoi
Barrikadnaia,85000,12,1,1,0,2,67,Presnenski
Fili,99000,16,1,0,50,2,50,Filevskii Park
Begovaia,55000,15,1,0,0,1,30,Presnenski
Fili,110000,20,0,0,50,2,68,Filevskii Park
Novokuznetckaia,290000,11,1,1,0,2,67,Zamoskvoreche
Petrovskii park,90000,15,1,0,50,3,100,Aeroport
Ulitca Akademika Iangelia,56000,4,1,0,50,1,45,Certanovo Uznoe
Seligerskaia,40000,10,1,0,0,1,9,Beskudnikovski
Oktiabrskaia,72000,9,1,0,50,2,40,Yakimanka
Aviamotornaia,54500,19,1,1,0,1,67,Lefortovo
Solntcevo,50000,11,1,0,50,1,40,Solncevo
Smolenskaia,200000,12,1,1,0,3,67,Arbat
Strogino,38000,14,1,0,50,1,34,Strogino
Salarevo,33000,10,0,0,0,1,67,Solncevo
Ramenki,115000,15,1,0,0,2,67,Ramenki
Seligerskaia,60000,12,1,0,50,1,35,Beskudnikovski
Miakinino,38500,36,0,1,0,1,67,Strogino
Filatov Lug,34000,12,0,0,0,1,38,Sosenskoe
Krasnye vorota,90000,6,1,0,50,2,48,Krasnoselski
Konkovo,50000,13,0,0,50,1,50,Teplui Stan
Novogireevo,54500,19,0,1,0,2,67,Novogireevo
Davydkovo,42000,7,1,0,50,1,32,Mojaiski
Oktiabrskoe pole,54500,17,0,1,0,1,67,Shukino
Skhodnenskaia,41500,16,1,1,0,1,67,Uznoe Tushino
Voikovskaia,60000,6,1,0,50,2,44,Voikovski
Volzhskaia,90000,17,1,0,50,2,67,Kuzminki
Preobrazhenskaia ploshchad,50000,14,1,0,50,2,40,Preobrazhenskoe
Belorusskaia,100000,5,1,1,70,2,67,Tverskoi
Avtozavodskaia,40000,8,1,0,50,1,39,Danilovski
Bratislavskaia,50000,7,1,0,50,1,39,Maruino
Seligerskaia,61000,18,1,0,50,3,75,Beskudnikovski
Prospekt Vernadskogo,50000,7,1,0,0,1,67,Prospect Vernadskogo
Shelepikha,84500,5,1,1,0,1,67,Presnenski
Trubnaia,110000,9,1,0,0,2,52,Meshanski
Otradnoe,55000,11,1,0,0,2,67,Otradnoe
Mitino,45000,15,1,0,50,1,39,Mitino
Nekrasovka,38000,4,1,0,50,1,40,Nekrasovka
Shabolovskaia,45000,8,1,0,78,2,67,Donskoi
Solntcevo,45000,8,1,0,50,1,38,Solncevo
Marina Roshcha,55000,16,1,0,50,2,50,Maruina Rocha
Olkhovaia,45000,18,0,0,0,1,36,Sosenskoe
Vodnyi stadion,45000,17,0,0,50,1,40,Golovinski
Mezhdunarodnaia,200000,2,1,0,0,2,67,Presnenski
Akademicheskaia,49000,21,1,1,0,1,67,Academicheskiy
Sportivnaia,60000,13,1,0,50,2,56,Hamovniki
Seligerskaia,65000,13,1,0,50,1,38,Beskudnikovski
Strogino,32000,12,1,0,60,1,67,Strogino
Barrikadnaia,250000,14,1,0,0,2,67,Presnenski
Mezhdunarodnaia,210000,6,1,0,0,2,67,Presnenski
Belorusskaia,89999,6,1,0,45,3,75,Tverskoi
VDNKh,55000,12,1,0,50,2,47,Ostankinski
Mendeleevskaia,110000,3,1,0,50,2,67,Tverskoi
Verkhnie Likhobory,60000,7,1,1,0,1,67,Beskudnikovski
Akademicheskaia,95000,13,1,0,50,3,79,Academicheskiy
Rasskazovka,60000,13,0,0,50,2,60,Vnukovskoe
Rasskazovka,42000,12,0,0,0,1,67,Vnukovskoe
Profsoiuznaia,42000,7,1,0,0,2,56,Academicheskiy
Bibirevo,45000,16,1,0,50,2,53,Bibirevo
Pechatniki,59000,7,1,0,0,2,67,Pechatniki
Perovo,50000,11,1,0,50,1,33,Novogireevo
Chertanovskaia,42000,4,1,0,60,1,67,Certanovo Severnoe
Seligerskaia,58000,10,1,0,50,2,52,Beskudnikovski
Prospekt Vernadskogo,55000,5,1,0,100,1,67,Prospect Vernadskogo
Ulitca 1905 goda,48000,14,1,0,50,1,21,Presnenski
Seligerskaia,53000,10,0,0,50,1,32,Beskudnikovski
