metro,price,minutes,way,provider,fee_percent,rooms,total_area,sector
Kuntcevskaia,45000,25,1,0,50,1,40,Kuncevo
Kommunarka,45000,12,1,1,20,1,35,Sosenskoe
Shelepikha,63000,14,1,0,0,1,67,Presnenski
Narodnoe Opolchenie,85000,19,1,0,45,2,72,Horoshevo-Mnevniki
Mitino,47000,17,1,0,50,1,45,Mitino
Shabolovskaia,70000,11,1,0,50,1,50,Donskoi
Oktiabrskoe pole,70000,10,1,0,50,1,40,Shukino
Belorusskaia,43999,12,1,0,0,1,67,Tverskoi
Frunzenskaia,106500,12,1,1,0,2,67,Hamovniki
Michurinskii prospekt,60000,8,1,0,0,1,67,Ramenki
Ulitca Akademika Iangelia,55000,4,1,0,50,2,46,Certanovo Uznoe
Serpukhovskaia,70000,15,1,0,50,2,50,Zamoskvoreche
Kievskaia,84000,9,1,1,0,2,67,Dorogomilovo
Dmitrovskaia,85000,13,1,0,50,1,39,Butirski
Chistye prudy,170000,4,1,0,0,3,68,Basmanski
Okskaia,50000,10,1,0,100,1,5,Ryazanski
Taganskaia,57000,7,1,0,100,1,43,Taganski
Lomonosovskii prospekt,60000,18,0,0,0,1,7,Ramenki
Perovo,45000,13,1,0,50,1,40,Novogireevo
Mezhdunarodnaia,270000,2,1,0,0,2,67,Presnenski
Tekstilshchiki,45000,15,1,0,0,1,5,Tekstilshchiki
Nekrasovka,44000,14,1,0,50,1,44,Nekrasovka
Fili,110000,21,1,0,0,2,67,Filevskii Park
Oktiabrskaia,110000,4,1,0,50,3,79,Yakimanka
Davydkovo,35000,10,1,0,80,1,32,Mojaiski
Smolenskaia,85000,3,1,0,60,2,67,Arbat
Tverskaia,165000,5,1,0,50,2,60,Tverskoi
Dmitrovskaia,46490,15,1,1,0,1,67,Butirski
Narodnoe Opolchenie,55000,8,1,0,50,1,38,Horoshevo-Mnevniki
Kurskaia,100000,2,1,0,50,2,67,Basmanski
Shosse Entuziastov,55000,9,1,0,50,2,45,Perovo
Novoiasenevskaia,50000,8,1,0,50,3,67,Yasenevo
Iugo-Zapadnaia,37000,18,1,0,60,1,67,Troparevo-Nikulino
Rasskazovka,55000,12,0,0,0,2,67,Vnukovskoe
Shchukinskaia,33000,11,1,0,0,1,67,Shukino
Belomorskaia,45000,9,1,0,50,2,45,Levoberegni
Frunzenskaia,65000,4,1,0,50,2,2,Hamovniki
Universitet,48000,14,1,0,50,2,63,Ramenki
Smolenskaia,162500,11,1,1,0,1,67,Arbat
Preobrazhenskaia ploshchad,40000,17,1,0,50,1,38,Preobrazhenskoe
Mezhdunarodnaia,270000,6,1,0,0,2,67,Presnenski
Konkovo,60000,10,1,1,0,2,67,Teplui Stan
Belomorskaia,50000,18,1,0,0,1,67,Levoberegni
Strogino,65000,12,1,0,50,2,55,Strogino
Akademicheskaia,49000,16,1,0,50,1,42,Academicheskiy
Vladykino,45000,11,1,1,25,1,67,Otradnoe
Piatnitckoe shosse,45000,11,0,0,50,1,40,Mitino
Mezhdunarodnaia,300000,6,1,0,0,2,67,Presnenski
Bulvar Admirala Ushakova,63000,4,1,0,60,3,67,Uznoe Butovo
Timiriazevskaia,70000,11,1,0,50,2,55,Timiryazevski
Babushkinskaia,65000,20,1,0,50,2,57,Babuskinski
Delovoi tcentr,70000,13,1,0,0,1,67,Presnenski
Belomorskaia,45000,10,1,0,100,1,35,Levoberegni
Kuzminki,48000,12,1,0,50,2,45,Kuzminki
Sviblovo,50000,7,1,0,50,1,33,Sviblovo
Strogino,40000,15,1,0,100,1,67,Strogino
Belorusskaia,110000,13,1,0,0,2,90,Tverskoi
Iugo-Vostochnaia,41500,13,1,1,0,1,67,Vihino-Julebino
Bulvar Rokossovskogo,55000,13,0,0,50,2,45,Bogorodskoe
Krasnoselskaia,60000,10,1,0,50,2,67,Krasnoselski
Olkhovaia,30000,26,0,0,50,1,35,Sosenskoe
Rasskazovka,28000,37,0,0,50,2,45,Vnukovskoe
Davydkovo,37000,18,1,0,0,1,32,Mojaiski
Preobrazhenskaia ploshchad,41000,5,1,0,60,1,31,Preobrazhenskoe
Verkhnie Likhobory,50000,7,1,1,35,1,67,Beskudnikovski
Proletarskaia,53000,12,1,1,50,1,34,Taganski
Govorovo,55000,9,1,1,50,2,70,Solncevo
Iugo-Zapadnaia,65000,5,1,1,0,2,45,Troparevo-Nikulino
Otradnoe,55000,11,1,0,50,2,52,Otradnoe
Solntcevo,35000,14,1,0,0,2,41,Solncevo
Kozhukhovskaia,50000,9,1,0,50,2,39,Uznoportovi
Kozhukhovskaia,45000,10,1,0,50,1,38,Uznoportovi
Smolenskaia,70000,6,1,0,0,1,67,Arbat
Nagornaia,53000,2,1,0,50,1,39,Nagorni
Strogino,55000,14,1,0,50,1,39,Strogino
Skhodnenskaia,50000,8,1,0,50,1,38,Uznoe Tushino
Bulvar Rokossovskogo,50000,8,0,0,50,1,45,Bogorodskoe
Paveletckaia,87000,5,1,1,0,1,67,Zamoskvoreche
Arbatskaia,500000,12,1,0,0,5,200,Arbat
Mitino,35000,36,0,0,50,1,40,Mitino
Dmitrovskaia,70000,3,1,0,50,1,37,Butirski
Universitet,160000,20,1,0,0,3,100,Ramenki
Narodnoe Opolchenie,72000,22,1,0,50,2,70,Horoshevo-Mnevniki
Prospekt Mira,98000,8,1,0,50,3,74,Meshanski
Bibirevo,42000,24,1,0,0,2,60,Bibirevo
Profsoiuznaia,70000,7,1,0,50,2,53,Academicheskiy
Belomorskaia,45000,12,1,0,50,1,38,Levoberegni
Slavianskii bulvar,85000,8,1,0,50,2,56,Fili-Davidkovo
Krylatskoe,65000,14,1,0,20,3,75,Krylatskoe
Ulitca Starokachalovskaia,45000,16,1,0,50,1,45,Severnoe Butovo
Lomonosovskii prospekt,180000,20,1,0,50,3,116,Ramenki
Bratislavskaia,47000,21,1,1,0,1,67,Maruino
Seligerskaia,38000,12,1,0,50,1,19,Beskudnikovski
Shipilovskaia,35000,8,1,0,40,1,35,Zyablikovo
Govorovo,55000,10,1,0,50,1,42,Solncevo
Novoslobodskaia,180000,8,1,0,0,2,67,Tverskoi
Kurskaia,70000,10,1,0,20,1,67,Basmanski
Leninskii prospekt,70000,8,1,0,0,1,32,Donskoi
Shelepikha,70000,14,1,0,50,1,39,Presnenski
Volokolamskaia,50000,12,1,0,50,1,40,Mitino
Ulitca 1905 goda,108500,14,1,1,0,2,67,Presnenski
Pervomaiskaia,45000,8,1,0,0,1,67,Izmailovo
Ploshchad Ilicha,65000,10,1,0,50,1,67,Taganski
Solntcevo,60000,16,1,0,50,2,53,Solncevo
Belorusskaia,84500,12,1,1,0,2,67,Tverskoi
Kievskaia,100000,9,1,0,50,1,64,Dorogomilovo
Tulskaia,87000,13,1,1,0,1,67,Danilovski
Lukhmanovskaia,57000,9,1,0,50,3,78,Kosino-Uhtomski
Marina Roshcha,60000,10,1,0,50,2,45,Maruina Rocha
Lukhmanovskaia,33000,11,0,1,70,1,8,Kosino-Uhtomski
Strogino,70000,11,1,1,50,3,76,Strogino
Tcaritcyno,50000,20,1,0,50,1,38,Tcaritcyno
Nakhimovskii prospekt,62000,19,1,0,50,3,75,Zuzino
Buninskaia Alleia,38500,9,0,1,0,1,67,Uznoe Butovo
Novokosino,43000,15,0,0,0,2,45,Novokosino
Dmitrovskaia,50000,16,1,1,40,2,45,Butirski
Shosse Entuziastov,35000,23,1,0,70,1,4,Perovo
Belorusskaia,59000,9,1,1,0,1,67,Tverskoi
Alekseevskaia,49999,12,1,0,0,2,44,Alekseevski
Fonvizinskaia,70000,4,1,0,50,2,53,Butirski
Novogireevo,50000,4,0,0,30,2,46,Novogireevo
Dinamo,70000,9,1,0,50,1,67,Aeroport
Bratislavskaia,50000,11,1,0,0,2,54,Maruino
Rizhskaia,50000,18,1,0,50,1,39,Meshanski
Dinamo,485000,8,1,1,0,3,67,Aeroport
Mezhdunarodnaia,220000,2,1,0,0,2,67,Presnenski
Park kultury,800000,9,1,0,0,6,67,Hamovniki
Prospekt Mira,60000,9,1,0,50,1,35,Meshanski
Prazhskaia,50000,13,0,0,50,1,44,Certanovo Centralnoe
Kievskaia,70000,13,1,0,50,1,67,Dorogomilovo
TcSKA,90000,7,1,0,0,2,48,Horoshevski
Shelepikha,105000,13,1,0,30,2,67,Presnenski
Oktiabrskoe pole,70000,19,1,0,50,1,67,Shukino
Novogireevo,29000,11,1,1,0,1,67,Novogireevo
Dmitrovskaia,55000,13,1,0,50,1,30,Butirski
Preobrazhenskaia ploshchad,50000,10,0,0,50,1,33,Preobrazhenskoe
Botanicheskii sad,40000,13,1,0,0,1,67,Sviblovo
Nekrasovka,37000,10,1,0,50,1,38,Nekrasovka
Sukharevskaia,85000,4,1,0,50,2,56,Krasnoselski
Dmitrovskaia,70000,15,1,0,50,1,67,Butirski
VDNKh,47000,10,1,0,0,1,31,Ostankinski
Preobrazhenskaia ploshchad,45000,16,1,0,50,1,33,Preobrazhenskoe
Universitet,45000,17,1,0,78,1,33,Ramenki
Filatov Lug,34000,27,0,0,70,1,42,Sosenskoe
Bulvar Rokossovskogo,60000,11,1,0,50,1,45,Bogorodskoe
Seligerskaia,55000,13,1,0,50,1,36,Beskudnikovski
Sevastopolskaia,43000,6,1,1,30,2,45,Zuzino
Prospekt Vernadskogo,70000,18,1,0,0,2,58,Prospect Vernadskogo
Piatnitckoe shosse,47000,11,0,0,50,2,55,Mitino
Altufevo,40000,8,1,0,50,1,38,Bibirevo
Volokolamskaia,45000,11,1,0,50,1,67,Mitino
Kievskaia,60000,14,1,0,50,3,67,Dorogomilovo
Prospekt Mira,70000,10,1,0,0,2,47,Meshanski
Riazanskii prospekt,30000,17,1,0,0,1,32,Ryazanski
Skhodnenskaia,35000,9,1,0,100,0,67,Uznoe Tushino
Vladykino,39000,12,1,0,0,1,67,Otradnoe
Vladykino,38000,11,1,0,50,1,21,Otradnoe
Sokol,82000,3,1,0,50,2,63,Sokol
Dinamo,60000,14,1,0,50,1,67,Aeroport
Nekrasovka,35000,22,1,0,40,1,40,Nekrasovka
Planernaia,65000,23,0,0,50,2,67,Severnoe Tushino
Olkhovaia,50000,18,0,0,50,1,35,Sosenskoe
Ulitca Akademika Iangelia,60000,9,1,0,50,2,59,Certanovo Uznoe
Okskaia,37000,10,1,0,60,1,67,Ryazanski
Seligerskaia,54500,6,1,1,0,2,67,Beskudnikovski
Ziablikovo,90000,16,1,0,50,3,77,Zyablikovo
Okruzhnaia,45000,11,1,0,30,1,67,Timiryazevski
Novogireevo,50000,10,1,0,50,2,42,Novogireevo
Belomorskaia,42000,17,1,0,50,1,33,Levoberegni
Petrovskii park,45000,16,1,0,50,1,41,Aeroport
Dinamo,60000,14,1,0,50,2,45,Aeroport
Seligerskaia,45000,11,1,0,50,1,35,Beskudnikovski
Filatov Lug,60000,15,0,0,50,2,52,Sosenskoe
Belomorskaia,35000,18,1,0,50,1,33,Levoberegni
Bratislavskaia,40000,11,1,0,50,1,67,Maruino
Iuzhnaia,55000,12,1,0,50,2,46,Certanovo Centralnoe
Vodnyi stadion,55000,15,1,0,50,1,35,Golovinski
Vodnyi stadion,42000,17,0,0,50,1,40,Golovinski
Buninskaia Alleia,44000,22,0,1,0,1,67,Uznoe Butovo
Planernaia,42000,9,1,0,50,1,36,Severnoe Tushino
Tcaritcyno,55000,15,1,0,0,2,48,Tcaritcyno
Frunzenskaia,72000,10,1,1,0,2,67,Hamovniki
Kosino,36000,15,1,0,50,1,5,Vihino-Julebino
Rechnoi vokzal,60000,9,1,0,50,2,52,Levoberegni
Seligerskaia,55000,15,1,0,50,1,37,Beskudnikovski
Mezhdunarodnaia,220000,7,1,0,0,2,67,Presnenski
Lomonosovskii prospekt,148000,20,1,1,0,2,67,Ramenki
Seligerskaia,30000,12,1,0,0,1,67,Beskudnikovski
Tcaritcyno,65000,15,0,0,50,2,72,Tcaritcyno
Ulitca 1905 goda,60000,12,1,0,50,1,33,Presnenski
Davydkovo,54500,26,1,1,0,2,67,Mojaiski
Krylatskoe,50000,3,1,0,50,1,38,Krylatskoe
Fili,60000,17,1,0,50,1,47,Filevskii Park
Olkhovaia,33000,28,0,0,60,1,35,Sosenskoe
Salarevo,50000,9,1,0,20,2,6,Solncevo
Proletarskaia,90000,7,1,0,0,3,101,Taganski
Bulvar Rokossovskogo,70000,19,1,0,0,2,54,Bogorodskoe
Kolomenskaia,100000,16,0,0,50,3,78,Nagatino-Sadovniki
Seligerskaia,40000,19,0,0,50,1,40,Beskudnikovski
Novoperedelkino,49000,2,1,0,50,1,43,Novo-Peredelkino
Iugo-Vostochnaia,42000,6,1,0,60,1,67,Vihino-Julebino
Nekrasovka,36000,10,0,0,50,1,40,Nekrasovka
Mezhdunarodnaia,250000,7,1,0,0,2,67,Presnenski
Kuzminki,39000,13,0,0,50,1,38,Kuzminki
Tretiakovskaia,96500,6,1,1,0,1,67,Zamoskvoreche
Nekrasovka,38000,6,1,0,50,1,40,Nekrasovka
Otradnoe,55000,11,1,0,50,3,67,Otradnoe
Shabolovskaia,55000,6,1,0,0,1,35,Donskoi
Salarevo,40000,7,0,0,50,1,39,Solncevo
Okruzhnaia,39990,11,1,0,0,1,67,Timiryazevski
Nekrasovka,60000,6,1,0,50,3,75,Nekrasovka
Bibirevo,45000,12,0,0,50,1,36,Bibirevo
Aeroport,50000,12,1,0,50,1,36,Aeroport
Marina Roshcha,110000,12,1,0,50,2,57,Maruina Rocha
Fili,40000,5,1,0,0,1,28,Filevskii Park
Liublino,40000,11,1,0,50,1,34,Lublino
Prospekt Vernadskogo,45000,7,1,0,50,1,18,Prospect Vernadskogo
Tekstilshchiki,55000,17,1,0,50,2,45,Tekstilshchiki
Baumanskaia,46000,7,1,1,0,1,67,Basmanski
Nagornaia,58500,18,1,1,0,2,67,Nagorni
Ulitca Skobelevskaia,60000,5,1,0,50,3,76,Uznoe Butovo
Krasnye vorota,150000,8,1,0,50,3,90,Krasnoselski
Belomorskaia,60000,9,1,0,50,1,35,Levoberegni
Lomonosovskii prospekt,200000,5,1,0,0,5,67,Ramenki
Kolomenskaia,65000,17,1,1,80,3,78,Nagatino-Sadovniki
Dmitrovskaia,60000,2,1,0,50,2,44,Butirski
Okskaia,55000,10,1,0,50,2,55,Ryazanski
Kakhovskaia,50000,13,1,0,50,1,39,Zuzino
Medvedkovo,45000,5,1,0,50,1,35,Severnoe Medvedkovo
Seligerskaia,60000,11,1,0,50,1,39,Beskudnikovski
Solntcevo,44000,7,1,1,0,1,67,Solncevo
Akademicheskaia,70000,15,1,0,50,2,67,Academicheskiy
Nekrasovka,45000,13,1,0,50,1,36,Nekrasovka
Akademicheskaia,70000,15,1,0,50,2,67,Academicheskiy
Chertanovskaia,55000,10,1,0,50,1,40,Certanovo Severnoe
Kuzminki,44000,13,1,1,0,1,67,Kuzminki
Park kultury,110000,12,1,0,50,2,60,Hamovniki
Fonvizinskaia,60000,3,1,0,50,1,67,Butirski
Ozernaia,60000,11,1,1,0,2,67,Ochakovo-Matveevskoe
Kuntcevskaia,69000,7,1,0,50,1,49,Kuncevo
VDNKh,45000,16,1,0,50,1,42,Ostankinski
Kuzminki,37000,11,1,0,70,1,67,Kuzminki
Seligerskaia,45000,16,0,0,50,1,41,Beskudnikovski
Iasenevo,55000,14,1,0,70,1,34,Yasenevo
Salarevo,60000,13,0,0,50,3,75,Solncevo
Polianka,110000,3,1,0,50,2,67,Yakimanka
Narodnoe Opolchenie,55000,12,1,0,60,1,41,Horoshevo-Mnevniki
Botanicheskii sad,49000,12,1,1,0,1,67,Sviblovo
Kurskaia,50000,12,1,0,0,1,46,Basmanski
Borisovo,36000,7,1,0,0,1,38,Zyablikovo
Buninskaia Alleia,35000,13,0,0,60,1,67,Uznoe Butovo
Dmitrovskaia,46490,15,1,1,0,1,67,Butirski
Novokosino,40000,11,0,0,50,1,33,Novokosino
Nakhimovskii prospekt,45000,5,1,0,50,1,33,Zuzino
Medvedkovo,52000,9,1,0,50,2,52,Severnoe Medvedkovo
Beliaevo,40000,16,1,0,50,1,34,Konkovo
Kolomenskaia,85000,18,1,0,50,3,67,Nagatino-Sadovniki
Miakinino,57000,36,0,0,50,2,51,Strogino
Filatov Lug,35000,24,0,0,70,2,52,Sosenskoe
Nagornaia,64000,13,1,1,0,2,67,Nagorni
Govorovo,60000,6,1,0,50,1,36,Solncevo
Baumanskaia,90000,6,1,0,50,2,51,Basmanski
Annino,37000,11,1,0,100,1,36,Certanovo Uznoe
Perovo,42000,10,0,0,0,1,67,Novogireevo
Bulvar Rokossovskogo,49000,7,1,0,50,1,67,Bogorodskoe
Bagrationovskaia,150000,13,1,0,50,2,57,Filevskii Park
Ziablikovo,45000,9,1,0,50,1,39,Zyablikovo
Shelepikha,99878,21,1,0,50,2,50,Presnenski
Ulitca Gorchakova,60000,9,1,0,50,3,75,Uznoe Butovo
Kuzminki,33000,9,1,0,50,2,7,Kuzminki
Babushkinskaia,60000,5,1,0,50,2,54,Babuskinski
Altufevo,45000,10,1,0,50,1,42,Bibirevo
Aeroport,70000,11,1,0,70,2,47,Aeroport
Michurinskii prospekt,150000,9,1,0,0,4,130,Ramenki
Iasenevo,35000,16,1,0,50,1,67,Yasenevo
Novogireevo,38500,12,0,1,0,1,67,Novogireevo
Khovrino,40000,16,1,0,0,1,67,Hovrino
Planernaia,45000,8,1,0,100,1,67,Severnoe Tushino
Mezhdunarodnaia,350000,2,1,0,0,2,80,Presnenski
Narodnoe Opolchenie,37000,11,1,0,0,1,39,Horoshevo-Mnevniki
Lomonosovskii prospekt,60000,11,1,0,50,1,67,Ramenki
Krylatskoe,50000,6,1,0,0,1,35,Krylatskoe
Kuntcevskaia,50000,15,1,0,50,1,35,Kuncevo
Ulitca Akademika Iangelia,43000,16,1,0,50,1,67,Certanovo Uznoe
Mezhdunarodnaia,350000,5,1,0,0,3,67,Presnenski
Delovoi tcentr,350000,8,1,0,0,2,67,Presnenski
Ulitca 1905 goda,63000,9,1,0,0,2,60,Presnenski
Shchelkovskaia,35000,19,1,0,0,1,67,Golyanovo
Chertanovskaia,42000,10,1,0,50,1,37,Certanovo Severnoe
Belorusskaia,100000,7,1,0,50,2,50,Tverskoi
Lefortovo,50000,19,1,0,0,2,52,Lefortovo
Otradnoe,55000,8,1,1,0,2,67,Otradnoe
Kutuzovskaia,85000,9,1,0,0,2,67,Dorogomilovo
Govorovo,65000,5,1,0,50,2,69,Solncevo
Piatnitckoe shosse,53000,10,0,0,50,1,33,Mitino
Ziablikovo,49000,9,1,0,0,2,50,Zyablikovo
Olkhovaia,37000,9,0,0,60,1,40,Sosenskoe
Novoiasenevskaia,50000,8,1,0,50,2,51,Yasenevo
Shipilovskaia,35000,18,1,0,0,1,37,Zyablikovo
Borovskoe shosse,55000,7,1,0,50,2,62,Novo-Peredelkino
Kropotkinskaia,160000,4,1,0,50,3,67,Hamovniki
Tcaritcyno,55000,17,0,0,0,2,75,Tcaritcyno
Rechnoi vokzal,55000,20,1,0,50,2,50,Levoberegni
Dobryninskaia,160130,7,1,1,0,3,67,Zamoskvoreche
Narodnoe Opolchenie,105000,14,0,0,0,2,67,Horoshevo-Mnevniki
Seligerskaia,55500,12,1,1,0,1,67,Beskudnikovski
Seligerskaia,50000,12,1,0,50,1,35,Beskudnikovski
Altufevo,42900,9,1,0,50,2,67,Bibirevo
Rimskaia,60000,3,1,0,50,2,54,Taganski
Barrikadnaia,101500,10,1,1,0,2,67,Presnenski
Fonvizinskaia,70000,14,1,0,50,2,62,Butirski
Rasskazovka,40900,12,0,0,60,1,41,Vnukovskoe
Kolomenskaia,39000,9,1,0,50,1,33,Nagatino-Sadovniki
Belomorskaia,40000,16,0,0,50,1,67,Levoberegni
Okruzhnaia,45000,11,1,0,50,1,19,Timiryazevski
Kozhukhovskaia,47000,14,1,0,50,2,67,Uznoportovi
Novokosino,50000,9,0,0,50,2,44,Novokosino
Buninskaia Alleia,47000,16,0,0,50,2,69,Uznoe Butovo
Marino,47000,13,1,0,50,1,45,Maruino
Dubrovka,40000,4,1,1,100,1,38,Uznoportovi
Novokosino,38000,21,1,1,100,2,35,Novokosino
Mezhdunarodnaia,48000,10,1,1,100,1,40,Presnenski
Skhodnenskaia,40000,6,1,1,50,2,48,Uznoe Tushino
Nekrasovka,45000,13,1,1,100,2,55,Nekrasovka
Fonvizinskaia,45000,7,1,1,100,1,34,Butirski
Filatov Lug,15000,31,0,1,100,1,45,Sosenskoe
Sukharevskaia,70000,4,1,1,100,3,70,Krasnoselski
Studencheskaia,62000,6,1,1,60,2,50,Dorogomilovo
Fonvizinskaia,47000,10,1,1,50,2,47,Butirski
VDNKh,65000,13,1,1,100,1,35,Ostankinski
Bratislavskaia,40000,12,0,1,100,2,70,Maruino
Iasenevo,34000,4,1,1,100,1,33,Yasenevo
Lukhmanovskaia,48000,14,0,1,0,1,48,Kosino-Uhtomski
Bratislavskaia,38000,21,1,1,100,1,25,Maruino
Zhulebino,40000,7,1,1,100,1,39,Vihino-Julebino
Sviblovo,35000,17,1,1,100,1,34,Sviblovo
Sevastopolskaia,65000,6,1,1,35,2,80,Zuzino
Tcaritcyno,37000,16,0,1,100,1,5,Tcaritcyno
Preobrazhenskaia ploshchad,50000,5,1,1,100,2,38,Preobrazhenskoe
Novokuznetckaia,190000,11,1,1,50,2,52,Zamoskvoreche
Narodnoe Opolchenie,35000,19,1,1,100,1,32,Horoshevo-Mnevniki
Shosse Entuziastov,38000,14,0,1,100,1,36,Perovo
Pervomaiskaia,40000,14,0,1,100,2,52,Izmailovo
Tushinskaia,60000,12,1,1,80,1,47,Pokrovskoe-Streshnevo
Nekrasovka,60000,18,1,1,100,3,62,Nekrasovka
Alma-Atinskaia,33000,14,1,1,100,1,40,Brateevo
Medvedkovo,35000,18,1,1,100,2,45,Severnoe Medvedkovo
Olkhovaia,38000,26,0,1,70,2,55,Sosenskoe
VDNKh,35000,10,1,1,100,1,35,Ostankinski
Novokuznetckaia,270000,11,1,1,0,2,51,Zamoskvoreche
Olkhovaia,33000,27,0,1,100,1,35,Sosenskoe
Preobrazhenskaia ploshchad,35000,9,0,1,100,1,36,Preobrazhenskoe
Bibirevo,50000,12,0,1,100,2,53,Bibirevo
Prazhskaia,50000,6,1,1,100,2,45,Certanovo Centralnoe
Babushkinskaia,50000,17,0,1,100,2,45,Babuskinski
Ozernaia,68000,15,1,1,70,3,100,Ochakovo-Matveevskoe
Skhodnenskaia,38000,16,1,1,100,2,41,Uznoe Tushino
Tekstilshchiki,43000,9,1,1,50,2,45,Tekstilshchiki
Miakinino,50000,36,0,1,80,2,45,Strogino
Sviblovo,42000,9,0,1,50,1,44,Sviblovo
Medvedkovo,55000,12,0,1,70,2,41,Severnoe Medvedkovo
Kantemirovskaia,36000,15,1,1,80,1,39,Tcaritcyno
Perovo,38000,12,1,1,100,2,52,Novogireevo
Skhodnenskaia,45000,11,1,1,50,1,40,Uznoe Tushino
Kommunarka,56000,16,1,1,50,2,64,Sosenskoe
Babushkinskaia,30000,15,1,1,100,2,37,Babuskinski
Riazanskii prospekt,45000,7,1,0,50,1,43,Ryazanski
Narodnoe Opolchenie,65000,19,1,1,0,2,67,Horoshevo-Mnevniki
Nizhegorodskaia,85000,12,1,0,50,2,60,Nizhegorodski
Marksistskaia,69500,6,1,1,0,1,67,Taganski
Paveletckaia,65000,8,1,0,0,2,67,Zamoskvoreche
Kantemirovskaia,50000,9,1,0,50,1,40,Tcaritcyno
Ploshchad Ilicha,67000,10,1,0,50,1,33,Taganski
Vodnyi stadion,70000,9,1,0,50,2,50,Golovinski
Nekrasovka,52500,10,1,1,0,2,67,Nekrasovka
Bibirevo,46000,7,1,0,50,2,53,Bibirevo
Tulskaia,170000,8,1,1,0,3,100,Danilovski
Annino,52000,12,1,0,50,1,46,Certanovo Uznoe
Davydkovo,37000,13,0,0,50,1,9,Mojaiski
Davydkovo,37000,8,1,0,0,1,28,Mojaiski
Paveletckaia,85000,10,1,0,50,2,45,Zamoskvoreche
Narodnoe Opolchenie,60000,18,1,0,30,1,67,Horoshevo-Mnevniki
Beliaevo,55000,17,1,0,50,2,45,Konkovo
Vodnyi stadion,55000,13,0,0,50,3,2,Golovinski
Kommunarka,45000,12,1,0,50,1,35,Sosenskoe
Buninskaia Alleia,37500,20,0,1,0,2,67,Uznoe Butovo
Bibirevo,60000,19,1,1,0,3,67,Bibirevo
Mezhdunarodnaia,400000,6,1,0,0,3,67,Presnenski
Mezhdunarodnaia,330000,6,1,0,0,3,88,Presnenski
Novogireevo,59000,9,0,0,39,2,67,Novogireevo
Chertanovskaia,55000,16,1,0,50,2,64,Certanovo Severnoe
Serpukhovskaia,90000,4,1,0,50,3,68,Zamoskvoreche
Pechatniki,90000,11,1,0,50,2,76,Pechatniki
Sviblovo,49000,9,1,0,50,1,39,Sviblovo
Konkovo,40000,8,1,0,50,1,67,Teplui Stan
Novogireevo,70000,10,1,0,50,2,62,Novogireevo
Prazhskaia,40000,16,1,0,50,1,33,Certanovo Centralnoe
Stakhanovskaia,42000,18,1,0,0,2,44,Ryazanski
Babushkinskaia,39000,17,1,0,60,1,67,Babuskinski
Prospekt Vernadskogo,45000,10,1,0,0,1,35,Prospect Vernadskogo
Novokuznetckaia,95000,6,1,0,0,2,54,Zamoskvoreche
Nekrasovka,50000,16,1,0,50,2,70,Nekrasovka
Arbatskaia,173500,10,1,1,0,1,67,Arbat
Profsoiuznaia,60000,10,1,0,50,2,42,Academicheskiy
Alekseevskaia,50000,6,1,0,50,1,38,Alekseevski
Davydkovo,60000,19,1,0,50,2,60,Mojaiski
Shelepikha,49000,14,1,0,50,1,43,Presnenski
Khovrino,64000,34,0,1,0,3,67,Hovrino
Nekrasovka,55000,8,1,0,40,3,67,Nekrasovka
Filatov Lug,30000,21,0,0,0,1,67,Sosenskoe
Ramenki,44000,12,1,1,0,1,67,Ramenki
Nakhimovskii prospekt,42000,3,1,0,50,1,39,Zuzino
Mezhdunarodnaia,350000,2,1,0,0,2,67,Presnenski
Rasskazovka,50000,14,0,0,50,2,67,Vnukovskoe
Novoperedelkino,40000,21,1,0,50,1,41,Novo-Peredelkino
Buninskaia Alleia,87000,8,1,0,40,4,85,Uznoe Butovo
Narodnoe Opolchenie,50000,6,1,0,50,1,35,Horoshevo-Mnevniki
Rechnoi vokzal,42000,16,0,0,50,2,57,Levoberegni
Kolomenskaia,39000,13,0,0,50,1,36,Nagatino-Sadovniki
Mezhdunarodnaia,300000,2,1,0,0,2,67,Presnenski
Bulvar Rokossovskogo,30000,13,0,0,0,1,37,Bogorodskoe
Avtozavodskaia,60000,6,1,0,50,2,67,Danilovski
Ulitca Akademika Iangelia,30000,6,1,0,50,1,38,Certanovo Uznoe
Ramenki,110000,15,1,0,50,2,52,Ramenki
Narodnoe Opolchenie,70000,15,1,0,50,2,43,Horoshevo-Mnevniki
Skhodnenskaia,38500,10,1,1,0,1,67,Uznoe Tushino
Nekrasovka,55000,15,0,0,50,4,67,Nekrasovka
Rasskazovka,33000,12,0,0,50,1,43,Vnukovskoe
Sokolniki,69999,6,1,0,80,2,70,Sokolniki
Seligerskaia,61000,10,1,0,50,1,35,Beskudnikovski
VDNKh,45000,13,1,0,50,1,35,Ostankinski
Paveletckaia,90000,8,1,0,0,3,72,Zamoskvoreche
Otradnoe,70000,13,0,0,50,2,42,Otradnoe
Medvedkovo,50000,7,1,0,0,2,67,Severnoe Medvedkovo
Vykhino,50000,16,1,0,50,1,33,Vihino-Julebino
Belomorskaia,70000,8,1,0,50,2,53,Levoberegni
Sokolniki,47000,15,1,0,50,1,32,Sokolniki
Profsoiuznaia,50765,17,1,1,0,3,67,Academicheskiy
Vodnyi stadion,65000,9,1,0,50,1,43,Golovinski
Alma-Atinskaia,71000,4,1,0,60,3,67,Brateevo
